zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
(s = Tarvaris Jackson, r = {} plays in the position of [P413], o = quarterback)
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
----------------------------------------------------------------------------------------------------
{'Jh_norm': 7.65234375, 'bias_norm': 263.75, 'h_info': {'h_index': 0, 'token_id': 47079, 'token': 'Tar'}, 'consider_residual': False}
----------------------------------------------------------------------------------------------------
Kevin Kolb, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Vesa Toskala, target: goaltender   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> False
Aaron Rodgers, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Robert Griffin III, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Kyle Boller, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Jake Rudock, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Elvis Grbac, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Troy Aikman, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Jonathan Lucroy, target: catcher   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> False
Carey Price, target: goaltender   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> False
Dan Fouts, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Joe Theismann, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Aaron Murray, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Henry Burris, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Tim Tebow, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Alex Smith, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Bob Griese, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Ryan Mallett, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Philip Rivers, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Matt Flynn, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Bruce Gradkowski, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Teddy Bridgewater, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Matt Hasselbeck, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Ben Roethlisberger, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Blaine Gabbert, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Todd Marinovich, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Jim Zorn, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Francisco Cervelli, target: catcher   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> False
Zach Mettenberger, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Kurt Warner, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Daunte Culpepper, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Vince Young, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
Jason Campbell, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' an', ' free'] >>> True
Roger Staubach, target: quarterback   ==>   predicted: [' quarterback', ' a', ' the', ' free', ' an'] >>> True
