zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
(s = Democratic Republic of Afghanistan, r = The capital of {} is [P36], o = Kabul)
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
----------------------------------------------------------------------------------------------------
{'Jh_norm': 3.76953125, 'bias_norm': 258.5, 'h_info': {'sub_index': 0, 'token_id': 4390, 'token': ' Democratic'}, 'consider_residual': False}
----------------------------------------------------------------------------------------------------
Saxony, target: Dresden   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Grand Duchy of Finland, target: Helsinki   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Tripolitania, target: Tripoli   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Bohemia, target: Prague   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
occupation of Japan, target: Tokyo   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Valencia, target: Valencia   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Demerara, target: Georgetown   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
United States Army Military Government in Korea, target: Seoul   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Campania, target: Naples   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Peru, target: Lima   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Ukrainian State, target: Kiev   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of France, target: Paris   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Ayyubid dynasty, target: Cairo   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Scotland, target: Edinburgh   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Lebanon, target: Beirut   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Egypt, target: Cairo   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
People's Republic of China, target: Beijing   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Jerusalem, target: Jerusalem   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Poland, target: Warsaw   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
United Kingdom of Great Britain and Ireland, target: London   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Syria, target: Damascus   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Valencian Community, target: Valencia   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Lazio, target: Rome   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Khalji dynasty, target: Delhi   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Libya, target: Tripoli   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Hawaii, target: Honolulu   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Colony of Vancouver Island, target: Victoria   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Ireland, target: Dublin   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
First Czechoslovak Republic, target: Prague   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Union between Sweden and Norway, target: Stockholm   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Portugal, target: Lisbon   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Afghanistan, target: Kabul   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> True
People's Republic of Poland, target: Warsaw   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Czech Republic, target: Prague   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kyōto Prefecture, target: Kyoto   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Kingdom of Iraq, target: Baghdad   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Denmark, target: Copenhagen   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Santiago Metropolitan Region, target: Santiago   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
Belgium, target: Brussels   ==>   predicted: [' Kabul', ' the', ' a', ' located', ' situated'] >>> False
